"time","open","high","low","close","MA1","MA2","MA3"
1591952400,"1,13246","1,13268","1,13101","1,13219","1,12874525","1,1312595","1,1307925"
1591956000,"1,13219","1,13277","1,12956","1,13027","1,1288346","1,1308675","1,130965"
1591959600,"1,13027","1,13183","1,12926","1,13095","1,1289259","1,130521","1,1311625"
1591963200,"1,13095","1,13158","1,12941","1,13053","1,1290157","1,130239","1,131265"
1591966800,"1,13053","1,1323","1,12913","1,13015","1,1290995","1,1301555","1,13114375"
1591970400,"1,13015","1,13054","1,12384","1,12462","1,1291632","1,129882","1,13041625"
1591974000,"1,12462","1,12585","1,12335","1,12518","1,1292251","1,129645","1,12954375"
1591977600,"1,12518","1,12566","1,12348","1,12362","1,1292581","1,129331","1,12843875"
1591981200,"1,12362","1,12447","1,12125","1,1224","1,12928005","1,128994","1,127215"
1591984800,"1,1224","1,12337","1,1221","1,1231","1,1293113","1,128655","1,12631875"
1591988400,"1,1231","1,12533","1,12309","1,12529","1,12935325","1,1284785","1,12561125"
1591992000,"1,12529","1,12622","1,12523","1,12548","1,1293982","1,1283375","1,12498"
1592168400,"1,12333","1,12473","1,12329","1,12409","1,1294242","1,128101","1,1242225"
1592172000,"1,12409","1,12517","1,12265","1,12471","1,12945595","1,127892","1,12423375"
1592175600,"1,12471","1,12583","1,12428","1,12518","1,12949895","1,1276825","1,12423375"
1592179200,"1,12518","1,12611","1,1245","1,12462","1,1295351","1,127428","1,12435875"
1592182800,"1,12462","1,12605","1,12436","1,12592","1,1295794","1,127168","1,12479875"
1592186400,"1,12592","1,12607","1,12514","1,12529","1,12961975","1,1269105","1,1250725"
1592190000,"1,12529","1,12643","1,12525","1,12635","1,1296689","1,12662","1,125205"
1592193600,"1,12635","1,12685","1,12592","1,12606","1,1297146","1,1263","1,1252775"
1592197200,"1,12606","1,12618","1,12371","1,12415","1,12975075","1,125898","1,125285"
1592200800,"1,12415","1,12484","1,12268","1,12311","1,12977975","1,12554","1,125085"
1592204400,"1,12311","1,12504","1,12301","1,12442","1,1298092","1,1252135","1,12499"
1592208000,"1,12442","1,12676","1,12419","1,12665","1,12984595","1,1250195","1,12524375"
1592211600,"1,12665","1,12665","1,12441","1,12493","1,12987655","1,1247585","1,12512"
1592215200,"1,12493","1,12602","1,1245","1,12463","1,12990205","1,124759","1,1250375"
1592218800,"1,12463","1,12678","1,12403","1,12578","1,1299271","1,124789","1,12496625"
1592222400,"1,12578","1,12609","1,12461","1,12476","1,12994925","1,124846","1,12480375"
1592226000,"1,12476","1,12846","1,12438","1,12777","1,12998615","1,1251145","1,12525625"
1592229600,"1,12777","1,12938","1,12694","1,12738","1,1300185","1,1253285","1,12579"
1592233200,"1,12738","1,12778","1,12601","1,12696","1,1300451","1,125412","1,1261075"
1592236800,"1,12696","1,1288","1,12685","1,12853","1,1300824","1,1255645","1,1263425"
1592240400,"1,12853","1,13013","1,12821","1,12986","1,130123","1,125853","1,12695875"
1592244000,"1,12986","1,13326","1,12985","1,13145","1,1301802","1,12619","1,12781125"
1592247600,"1,13145","1,13238","1,13073","1,13143","1,1302402","1,1265025","1,1285175"
1592251200,"1,13143","1,13232","1,13127","1,13227","1,13030575","1,126885","1,12945625"
1592254800,"1,13227","1,13263","1,13185","1,13249","1,13036085","1,1272135","1,13004625"
1592258400,"1,13249","1,13311","1,13196","1,13294","1,1304172","1,127596","1,13074125"
1592262000,"1,13294","1,13381","1,13258","1,13376","1,1304629","1,1279665","1,13159125"
1592265600,"1,13376","1,13399","1,13302","1,13337","1,13051145","1,128332","1,13219625"
